Type,Identification,Field,Locale,Market,Status,Default content,Translated content
PRODUCT,'7710626611283,meta_description,de,,,"BU1 SKY – lehkost ☁️, kontrola 🎯 a výkon 💥 v každém zákroku. T2 Grip pěna a NC střih pro maximální jistotu v rukou.","BU1 SKY – Leichtigkeit ☁️, Kontrolle 🎯 und Leistung 💥 in jedem Einsatz. T2 Grip-Schaum und NC-Schnitt für maximale Sicherheit in den Händen."
PRODUCT,'7710626611283,meta_description,en,,,"BU1 SKY – lehkost ☁️, kontrola 🎯 a výkon 💥 v každém zákroku. T2 Grip pěna a NC střih pro maximální jistotu v rukou.","BU1 SKY – lightness ☁️, control 🎯 and performance 💥 in every save. T2 Grip foam and NC cut for maximum confidence in your hands."
PRODUCT,'7710626611283,meta_description,es,,,"BU1 SKY – lehkost ☁️, kontrola 🎯 a výkon 💥 v každém zákroku. T2 Grip pěna a NC střih pro maximální jistotu v rukou.","BU1 SKY – ligereza ☁️, control 🎯 y rendimiento 💥 en cada intervención. Espuma T2 Grip y corte NC para una seguridad máxima en las manos."
PRODUCT,'7710626611283,meta_description,fr,,,"BU1 SKY – lehkost ☁️, kontrola 🎯 a výkon 💥 v každém zákroku. T2 Grip pěna a NC střih pro maximální jistotu v rukou.","BU1 SKY – légèreté ☁️, contrôle 🎯 et performance 💥 dans chaque arrêt. Mousse T2 Grip et coupe NC pour une sécurité maximale dans les mains."
PRODUCT,'7710626611283,meta_description,hr,,,"BU1 SKY – lehkost ☁️, kontrola 🎯 a výkon 💥 v každém zákroku. T2 Grip pěna a NC střih pro maximální jistotu v rukou.","BU1 SKY – laganost ☁️, kontrola 🎯 i performanse 💥 u svakom zahvatu. T2 Grip pjena i NC kroj za maksimalnu sigurnost u rukama."
PRODUCT,'7710626611283,meta_description,hu,,,"BU1 SKY – lehkost ☁️, kontrola 🎯 a výkon 💥 v každém zákroku. T2 Grip pěna a NC střih pro maximální jistotu v rukou.","BU1 SKY – könnyedség ☁️, pontosság 🎯 és teljesítmény 💥 minden beavatkozásban. T2 Grip hab és NC vágás a maximális biztonságért a kezekben."
PRODUCT,'7710626611283,meta_description,it,,,"BU1 SKY – lehkost ☁️, kontrola 🎯 a výkon 💥 v každém zákroku. T2 Grip pěna a NC střih pro maximální jistotu v rukou.","BU1 SKY – leggerezza ☁️, controllo 🎯 e prestazioni 💥 in ogni intervento. Schiuma T2 Grip e taglio NC per la massima sicurezza nelle mani."
PRODUCT,'7710626611283,meta_description,pl,,,"BU1 SKY – lehkost ☁️, kontrola 🎯 a výkon 💥 v každém zákroku. T2 Grip pěna a NC střih pro maximální jistotu v rukou.","BU1 SKY – lekkość ☁️, kontrola 🎯 i wydajność 💥 w każdym interwencji. Piana T2 Grip i krój NC dla maksymalnej pewności w dłoniach."
PRODUCT,'7710626611283,meta_description,ro,,,"BU1 SKY – lehkost ☁️, kontrola 🎯 a výkon 💥 v každém zákroku. T2 Grip pěna a NC střih pro maximální jistotu v rukou.","BU1 SKY – ușurință ☁️, control 🎯 și performanță 💥 în fiecare acțiune. Spuma T2 Grip și tăietura NC pentru o siguranță maximă în mâini."
PRODUCT,'7710626611283,meta_description,sk,,,"BU1 SKY – lehkost ☁️, kontrola 🎯 a výkon 💥 v každém zákroku. T2 Grip pěna a NC střih pro maximální jistotu v rukou.","BU1 SKY – ľahkosť ☁️, kontrola 🎯 a výkon 💥 v každom zákroku. T2 Grip pena a NC strih pre maximálnu istotu v rukách."
PRODUCT,'7710626742355,title,bg,,,Junior BU1 Sky,Junior BU1 Sky
PRODUCT,'7710626742355,title,de,,,Junior BU1 Sky,Junior BU1 Sky
PRODUCT,'7710626742355,title,en,,,Junior BU1 Sky,Junior BU1 Sky
PRODUCT,'7710626742355,title,es,,,Junior BU1 Sky,Junior BU1 Sky
PRODUCT,'7710626742355,title,fr,,,Junior BU1 Sky,Junior BU1 Sky
PRODUCT,'7710626742355,title,hr,,,Junior BU1 Sky,Junior BU1 Sky
PRODUCT,'7710626742355,title,hu,,,Junior BU1 Sky,Junior BU1 Sky
PRODUCT,'7710626742355,title,it,,,Junior BU1 Sky,Junior BU1 Sky
PRODUCT,'7710626742355,title,pl,,,Junior BU1 Sky,Junior BU1 Sky
PRODUCT,'7710626742355,title,ro,,,Junior BU1 Sky,Junior BU1 Sky
PRODUCT,'7710626742355,title,sk,,,Junior BU1 Sky,Junior BU1 Sky
PRODUCT,'7710626742355,body_html,bg,,,"<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> přináší stejné technologie a konstrukci jako dospělá verze, ale v provedení přizpůsobeném mladým brankářům.</span><br data-start=""360"" data-end=""363""><span>Lehký a pružný materiál umožňuje přirozený pohyb ruky, zatímco NC střih zajišťuje maximální cit při chytání.</span></p>","<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> предлага същите технологии и конструкция като версията за възрастни, но в изпълнение, адаптирано за млади вратари.</span><br data-start=""360"" data-end=""363""><span>Лек и еластичен материал позволява естествено движение на ръката, докато NC дизайнът осигурява максимална чувствителност при хващане.</span></p>"
PRODUCT,'7710626742355,body_html,de,,,"<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> přináší stejné technologie a konstrukci jako dospělá verze, ale v provedení přizpůsobeném mladým brankářům.</span><br data-start=""360"" data-end=""363""><span>Lehký a pružný materiál umožňuje přirozený pohyb ruky, zatímco NC střih zajišťuje maximální cit při chytání.</span></p>","<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> bietet die gleichen Technologien und Konstruktion wie die Erwachsenenversion, jedoch in einer Ausführung, die an junge Torhüter angepasst ist.</span><br data-start=""360"" data-end=""363""><span>Das leichte und flexible Material ermöglicht eine natürliche Handbewegung, während der NC-Schnitt für maximale Ballgefühl beim Fangen sorgt.</span></p>"
PRODUCT,'7710626742355,body_html,en,,,"<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> přináší stejné technologie a konstrukci jako dospělá verze, ale v provedení přizpůsobeném mladým brankářům.</span><br data-start=""360"" data-end=""363""><span>Lehký a pružný materiál umožňuje přirozený pohyb ruky, zatímco NC střih zajišťuje maximální cit při chytání.</span></p>","<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> brings the same technologies and construction as the adult version, but in a design adapted for young goalkeepers.</span><br data-start=""360"" data-end=""363""><span>The lightweight and flexible material allows for natural hand movement, while the NC cut ensures maximum sensitivity when catching.</span></p>"
PRODUCT,'7710626742355,body_html,es,,,"<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> přináší stejné technologie a konstrukci jako dospělá verze, ale v provedení přizpůsobeném mladým brankářům.</span><br data-start=""360"" data-end=""363""><span>Lehký a pružný materiál umožňuje přirozený pohyb ruky, zatímco NC střih zajišťuje maximální cit při chytání.</span></p>","<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> ofrece las mismas tecnologías y construcción que la versión para adultos, pero en un diseño adaptado a los porteros jóvenes.</span><br data-start=""360"" data-end=""363""><span>El material ligero y flexible permite un movimiento natural de la mano, mientras que el corte NC garantiza una sensibilidad máxima al atrapar.</span></p>"
PRODUCT,'7710626742355,body_html,fr,,,"<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> přináší stejné technologie a konstrukci jako dospělá verze, ale v provedení přizpůsobeném mladým brankářům.</span><br data-start=""360"" data-end=""363""><span>Lehký a pružný materiál umožňuje přirozený pohyb ruky, zatímco NC střih zajišťuje maximální cit při chytání.</span></p>","<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> apporte les mêmes technologies et la même construction que la version adulte, mais dans une conception adaptée aux jeunes gardiens de but.</span><br data-start=""360"" data-end=""363""><span>Le matériau léger et flexible permet un mouvement naturel de la main, tandis que la coupe NC assure une sensation maximale lors de la saisie.</span></p>"
PRODUCT,'7710626742355,body_html,hr,,,"<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> přináší stejné technologie a konstrukci jako dospělá verze, ale v provedení přizpůsobeném mladým brankářům.</span><br data-start=""360"" data-end=""363""><span>Lehký a pružný materiál umožňuje přirozený pohyb ruky, zatímco NC střih zajišťuje maximální cit při chytání.</span></p>","<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> donosi iste tehnologije i konstrukciju kao i odrasla verzija, ali u izvedbi prilagođenoj mladim vratarima.</span><br data-start=""360"" data-end=""363""><span>Lagani i elastični materijal omogućuje prirodno kretanje ruke, dok NC kroj osigurava maksimalan osjećaj pri hvatanju.</span></p>"
PRODUCT,'7710626742355,body_html,hu,,,"<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> přináší stejné technologie a konstrukci jako dospělá verze, ale v provedení přizpůsobeném mladým brankářům.</span><br data-start=""360"" data-end=""363""><span>Lehký a pružný materiál umožňuje přirozený pohyb ruky, zatímco NC střih zajišťuje maximální cit při chytání.</span></p>","<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> ugyanazokat a technológiákat és kialakítást kínálja, mint a felnőtt változat, de a fiatal kapusok igényeire szabott kivitelben.</span><br data-start=""360"" data-end=""363""><span>A könnyű és rugalmas anyag lehetővé teszi a kéz természetes mozgását, miközben az NC vágás maximális érzékenységet biztosít a fogás során.</span></p>"
PRODUCT,'7710626742355,body_html,it,,,"<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> přináší stejné technologie a konstrukci jako dospělá verze, ale v provedení přizpůsobeném mladým brankářům.</span><br data-start=""360"" data-end=""363""><span>Lehký a pružný materiál umožňuje přirozený pohyb ruky, zatímco NC střih zajišťuje maximální cit při chytání.</span></p>","<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> offre le stesse tecnologie e costruzione della versione per adulti, ma in una versione adattata ai giovani portieri.</span><br data-start=""360"" data-end=""363""><span>Il materiale leggero e flessibile permette un movimento naturale della mano, mentre la taglia NC assicura la massima sensibilità nella presa.</span></p>"
PRODUCT,'7710626742355,body_html,pl,,,"<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> přináší stejné technologie a konstrukci jako dospělá verze, ale v provedení přizpůsobeném mladým brankářům.</span><br data-start=""360"" data-end=""363""><span>Lehký a pružný materiál umožňuje přirozený pohyb ruky, zatímco NC střih zajišťuje maximální cit při chytání.</span></p>","<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> oferuje te same technologie i konstrukcję co wersja dla dorosłych, ale w wykonaniu dostosowanym do młodych bramkarzy.</span><br data-start=""360"" data-end=""363""><span>Lekki i elastyczny materiał zapewnia naturalny ruch dłoni, podczas gdy krój NC gwarantuje maksymalną czułość przy chwytaniu.</span></p>"
PRODUCT,'7710626742355,body_html,ro,,,"<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> přináší stejné technologie a konstrukci jako dospělá verze, ale v provedení přizpůsobeném mladým brankářům.</span><br data-start=""360"" data-end=""363""><span>Lehký a pružný materiál umožňuje přirozený pohyb ruky, zatímco NC střih zajišťuje maximální cit při chytání.</span></p>","<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> aduce aceleași tehnologii și construcție ca versiunea pentru adulți, dar într-o variantă adaptată tinerilor portari.</span><br data-start=""360"" data-end=""363""><span>Materialul ușor și elastic permite o mișcare naturală a mâinii, în timp ce tăietura NC asigură o sensibilitate maximă la prindere.</span></p>"
PRODUCT,'7710626742355,body_html,sk,,,"<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> přináší stejné technologie a konstrukci jako dospělá verze, ale v provedení přizpůsobeném mladým brankářům.</span><br data-start=""360"" data-end=""363""><span>Lehký a pružný materiál umožňuje přirozený pohyb ruky, zatímco NC střih zajišťuje maximální cit při chytání.</span></p>","<p><meta charset=""UTF-8""><strong data-start=""234"" data-end=""252"">BU1 SKY Junior</strong><span> prináša rovnaké technológie a konštrukciu ako dospelá verzia, ale v prevedení prispôsobenom mladým brankárom.</span><br data-start=""360"" data-end=""363""><span>Ľahký a pružný materiál umožňuje prirodzený pohyb ruky, zatiaľ čo NC strih zabezpečuje maximálnu citlivosť pri chytaní.</span></p>"
PRODUCT,'7710626742355,handle,bg,,,junior-bu1-sky,
PRODUCT,'7710626742355,handle,de,,,junior-bu1-sky,
PRODUCT,'7710626742355,handle,en,,,junior-bu1-sky,
PRODUCT,'7710626742355,handle,es,,,junior-bu1-sky,
PRODUCT,'7710626742355,handle,fr,,,junior-bu1-sky,
PRODUCT,'7710626742355,handle,hr,,,junior-bu1-sky,
PRODUCT,'7710626742355,handle,hu,,,junior-bu1-sky,
PRODUCT,'7710626742355,handle,it,,,junior-bu1-sky,
PRODUCT,'7710626742355,handle,pl,,,junior-bu1-sky,
PRODUCT,'7710626742355,handle,ro,,,junior-bu1-sky,
PRODUCT,'7710626742355,handle,sk,,,junior-bu1-sky,
PRODUCT,'7710626742355,product_type,bg,,,Soccer gloves,Футболни ръкавици
PRODUCT,'7710626742355,product_type,de,,,Soccer gloves,Torwarthandschuhe
PRODUCT,'7710626742355,product_type,en,,,Soccer gloves,Goalkeeper gloves
PRODUCT,'7710626742355,product_type,es,,,Soccer gloves,Guantes de fútbol
PRODUCT,'7710626742355,product_type,fr,,,Soccer gloves,Gants de football
PRODUCT,'7710626742355,product_type,hr,,,Soccer gloves,Vratarske rukavice
PRODUCT,'7710626742355,product_type,hu,,,Soccer gloves,Labdarúgó kesztyűk
PRODUCT,'7710626742355,product_type,it,,,Soccer gloves,Guanti da calcio
PRODUCT,'7710626742355,product_type,pl,,,Soccer gloves,Rękawice piłkarskie
PRODUCT,'7710626742355,product_type,ro,,,Soccer gloves,Mănuși de fotbal
PRODUCT,'7710626742355,product_type,sk,,,Soccer gloves,Futbalové rukavice
PRODUCT,'7710626742355,meta_description,bg,,,"BU1 SKY Junior – jistota, cit a výkon pro mladé gólmany. NC střih a pěna T2 Grip pro tréninky i zápasy bez kompromisů.","BU1 SKY Junior – сигурност, чувство и производителност за млади вратари. NC кройка и пяна T2 Grip за тренировки и мачове без компромиси."
PRODUCT,'7710626742355,meta_description,de,,,"BU1 SKY Junior – jistota, cit a výkon pro mladé gólmany. NC střih a pěna T2 Grip pro tréninky i zápasy bez kompromisů.","BU1 SKY Junior – Sicherheit, Gefühl und Leistung für junge Torhüter. NC-Schnitt und T2 Grip-Schaum für Training und Spiele ohne Kompromisse."
PRODUCT,'7710626742355,meta_description,en,,,"BU1 SKY Junior – jistota, cit a výkon pro mladé gólmany. NC střih a pěna T2 Grip pro tréninky i zápasy bez kompromisů.","BU1 SKY Junior – confidence, feel and performance for young goalkeepers. NC cut and T2 Grip foam for training and matches without compromise."
PRODUCT,'7710626742355,meta_description,es,,,"BU1 SKY Junior – jistota, cit a výkon pro mladé gólmany. NC střih a pěna T2 Grip pro tréninky i zápasy bez kompromisů.","BU1 SKY Junior – seguridad, sensación y rendimiento para jóvenes porteros. Corte NC y espuma T2 Grip para entrenamientos y partidos sin compromisos."
PRODUCT,'7710626742355,meta_description,fr,,,"BU1 SKY Junior – jistota, cit a výkon pro mladé gólmany. NC střih a pěna T2 Grip pro tréninky i zápasy bez kompromisů.","BU1 SKY Junior – sécurité, sensation et performance pour les jeunes gardiens. Coupe NC et mousse T2 Grip pour les entraînements et les matchs sans compromis."
PRODUCT,'7710626742355,meta_description,hr,,,"BU1 SKY Junior – jistota, cit a výkon pro mladé gólmany. NC střih a pěna T2 Grip pro tréninky i zápasy bez kompromisů.","BU1 SKY Junior – sigurnost, osjećaj i performanse za mlade vratare. NC kroj i T2 Grip pjena za treninge i utakmice bez kompromisa."
PRODUCT,'7710626742355,meta_description,hu,,,"BU1 SKY Junior – jistota, cit a výkon pro mladé gólmany. NC střih a pěna T2 Grip pro tréninky i zápasy bez kompromisů.","BU1 SKY Junior – biztonság, érzés és teljesítmény fiatal kapusoknak. NC vágás és T2 Grip hab tréningekhez és mérkőzésekre kompromisszumok nélkül."
PRODUCT,'7710626742355,meta_description,it,,,"BU1 SKY Junior – jistota, cit a výkon pro mladé gólmany. NC střih a pěna T2 Grip pro tréninky i zápasy bez kompromisů.","BU1 SKY Junior – sicurezza, sensibilità e prestazioni per i giovani portieri. Taglio NC e schiuma T2 Grip per allenamenti e partite senza compromessi."
PRODUCT,'7710626742355,meta_description,pl,,,"BU1 SKY Junior – jistota, cit a výkon pro mladé gólmany. NC střih a pěna T2 Grip pro tréninky i zápasy bez kompromisů.","BU1 SKY Junior – pewność, czucie i wydajność dla młodych bramkarzy. Stylizacja NC i pianka T2 Grip do treningów i meczów bez kompromisów."
PRODUCT,'7710626742355,meta_description,ro,,,"BU1 SKY Junior – jistota, cit a výkon pro mladé gólmany. NC střih a pěna T2 Grip pro tréninky i zápasy bez kompromisů.","BU1 SKY Junior – siguranță, simț și performanță pentru tinerii portari. Tăietura NC și spuma T2 Grip pentru antrenamente și meciuri fără compromisuri."
PRODUCT,'7710626742355,meta_description,sk,,,"BU1 SKY Junior – jistota, cit a výkon pro mladé gólmany. NC střih a pěna T2 Grip pro tréninky i zápasy bez kompromisů.","BU1 SKY Junior – istota, cit a výkon pre mladých brankárov. NC strih a pena T2 Grip pre tréningy aj zápasy bez kompromisov."
PRODUCT,'7710627102803,title,bg,,,BU1 vyztužené legíny krátké 2.0 černé,BU1 подсилени кратки гащета 2.0 черни
PRODUCT,'7710627102803,title,de,,,BU1 vyztužené legíny krátké 2.0 černé,BU1 verstärkte kurze Leggings 2.0 schwarz
PRODUCT,'7710627102803,title,en,,,BU1 vyztužené legíny krátké 2.0 černé,BU1 reinforced short leggings 2.0 black
PRODUCT,'7710627102803,title,es,,,BU1 vyztužené legíny krátké 2.0 černé,BU1 Leggings reforzadas cortas 2.0 negras
PRODUCT,'7710627102803,title,fr,,,BU1 vyztužené legíny krátké 2.0 černé,BU1 leggings renforcés courts 2.0 noirs
PRODUCT,'7710627102803,title,hr,,,BU1 vyztužené legíny krátké 2.0 černé,BU1 ojačane kratke hlače 2.0 crne
PRODUCT,'7710627102803,title,hu,,,BU1 vyztužené legíny krátké 2.0 černé,BU1 megerősített rövid leggings 2.0 fekete
PRODUCT,'7710627102803,title,it,,,BU1 vyztužené legíny krátké 2.0 černé,BU1 rinforzati leggings corti 2.0 neri
PRODUCT,'7710627102803,title,pl,,,BU1 vyztužené legíny krátké 2.0 černé,BU1 wzmocnione legginsy krótkie 2.0 czarne
PRODUCT,'7710627102803,title,ro,,,BU1 vyztužené legíny krátké 2.0 černé,BU1 legíny întărite scurte 2.0 negre
PRODUCT,'7710627102803,title,sk,,,BU1 vyztužené legíny krátké 2.0 černé,BU1 vyztužené nohavice krátke 2.0 čierne
PRODUCT,'7710627102803,body_html,bg,,outdated,"<p data-start=""27"" data-end=""239""><strong data-start=""27"" data-end=""62"">BU1 vyztužené legíny krátké 2.0</strong> jsou navržené pro brankáře, kteří chtějí ochranu při pádech a zákrocích. Nová generace přináší <strong data-start=""158"" data-end=""207"">lepší tlumení nárazů a větší ochrannou plochu</strong> v nejvíce zatěžovaných místech.</p>
<p data-start=""241"" data-end=""438"">Vyztužení <strong data-start=""251"" data-end=""275"">chrání boky a stehna</strong>, tedy oblasti, které při brankářských zákrocích nejčastěji přichází do kontaktu se zemí. Speciální pěnový materiál pomáhá <strong data-start=""398"" data-end=""437"">tlumit dopady při tréninku i zápase</strong>.</p>
<p data-start=""440"" data-end=""572"" data-is-last-node="""" data-is-only-node="""">Ergonomický střih <strong data-start=""458"" data-end=""469"">Top Fit</strong> zajišťuje pohodlí a volnost pohybu, zatímco <strong data-start=""514"" data-end=""541"">širší elastický pas BU1</strong> drží legíny stabilně na místě.</p>","<p data-start=27 data-end=239><strong data-start=27 data-end=62>BU1 подсилени кратки гащета 2.0</strong> са проектирани за вратари, които искат защита при падания и спасявания. Новото поколение предлага <strong data-start=158 data-end=207>по-добро амортизиране на удари и по-голяма защитна площ</strong> в най-натоварените зони.</p> <p data-start=241 data-end=438>Подсилването <strong data-start=251 data-end=275>защитава бедрата и ханшовете</strong>, областите, които при вратарски спасявания най-често влизат в контакт със земята. Специален пенен материал помага за <strong data-start=398 data-end=437>амортизиране на ударите по време на тренировки и мачове</strong>.</p> <p data-start=440 data-end=572 data-is-last-node="" data-is-only-node="">Ергономичният кройка <strong data-start=458 data-end=469>Top Fit</strong> осигурява комфорт и свобода на движение, докато <strong data-start=514 data-end=541>по-широкият еластичен пояс BU1</strong> държи гащетата стабилно на място.</p>"
